address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"Новосибирск, улица Чаплыгина, 48",61734665,Агентство недвижимости «НИАН»,Resale,3285,2020-11-25T04:26:30.046822Z,"Тихий Центр-мечта любого городского жителя.Жить в центре города и не слышать шума городского транспорта.Замечательное место для жизни.Сама квартира требует глаза и хорошего ремонта.Но добротные стены,высокие потолки,просторная площадь квартиры,позволит вам создать любой дизайнерский проект.ВНИМАНИЕ!!! ЕСТЬ ВОЗМОЖНОСТЬ ОБМЕНА НА ТЮМЕНЬ!!! С ВАШЕЙ ДОПЛАТОЙ!!!Помощь в сопровождении сделки.",51.8 м²,649.0,5/5,51.8 м²,51.8,5,8,3030517350,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3030517350,263.0,4 600 000 ₽,88 803 ₽ за м²,88803,4600000,Apartment,2020-11-25T04:26:30.046822Z,78,Listing,2,2.0,2020-12-25T07:17:29.228449+03:00,2023641972,2020-11-25T07:17:04.274339+03:00,2020-12-01T06:11:37.695188+03:00,0.525,263.0,#FF0000,Площадь Ленина,"2-комн. квартира, 51.8 м², 5/5 эт.",2020-12-01T03:21:03.443108Z
"Новосибирск, Кубовая улица, 51стр",16713305,Новостройки без комиссии-0%,New,3285,2020-10-26T15:01:14.678277Z,2к квартира <br>ЦЕНЫ OT ЗAСТPОЙЩИКА<br>КOМИCСИЯ 0%<br>ОБMЕH HA СTAPOE ЖИЛЬE.<br>ПОМОЩЬ B ПОЛУЧEНИИ ИПOTЕKИ<br>Сдaчa дома IV квaртал 2021г.,25 м²,653.0,3/10,25 м²,25.0,3,10,2958971163,Sale,/kvartira-na-prodazhu-novosibirsk-2958971163,,2 060 000 ₽,82 400 ₽ за м²,82400,2060000,Apartment,2020-10-26T15:01:14.678277Z,78,Listing,Студия,,2020-12-26T07:20:22.803963+03:00,2039383764,2020-10-26T17:43:32.220696+03:00,2020-11-26T07:20:22.803963+03:00,,,,,"Квартира-студия, 25 м², 3/10 эт.",2020-11-26T04:29:26.174175Z
"Новосибирская область, Татарский район, село Новопервомайское, улица Лысенкова, 14А",187698164,Евгений Владимирович,Resale,3281,2020-11-04T13:09:29.38577Z,"Продаю однокомнатную квартиру без балкона, пластиковые окна, металлическая входная дверь, не угловая, тёплая и уютная квартира. Причина продажи - переезд. Торг.<br>Новосибирская область, Татарский район, село Новопервомайское, Лысенкова, 26",43 м²,,2/2,43 м²,43.0,2,0,2981610237,Sale,/1-komnatnaya-kvartira-na-prodazhu-tatarsk-2981610237,,250 000 ₽,5 814 ₽ за м²,5814,250000,Apartment,2020-11-04T13:09:29.38577Z,78,Listing,1,1.0,2021-01-03T16:01:36.644153+03:00,2034128551,2020-11-04T16:00:02.553599+03:00,2020-12-04T16:01:36.644153+03:00,,,,,"1-комн. квартира, 43 м², 2/2 эт.",2020-12-04T13:12:17.330433Z
"Новосибирск, улица Лескова, 25",190870041,Софья,Resale,3285,2020-11-24T04:33:35.980179Z,"Предлагается к продаже 2-комнатная квартира-студия в ЖК Оазис. Квартира от СОБСТВЕННИКА! БЕЗ КОМИССИИ АГЕНТСТВУ!  Прекрасное расположение жилого комплекса делает его комфортным для жизни - рядом метро ""Октябрьская"", ТРЦ Аура, детские сады, школы, фитнес-клубы.  В центре жилого комплекса организован парк площадью 1,5 га по принципу ""двор без машин"": есть современные детские и спортивные площадки,профессиональное озеленение, фонтан, который зимой превращается в каток.  Территория ЖК полностью огорожена, оснащена камерами круглосуточного видеонаблюдения. Из окон квартиры прекрасный вид на жилой комплекс и город Новосибирск.<br>Новостройка 2020 года. Дом сдан. Документы готовы, ключи на руках.",41 м²,650.0,14/25,41 м²,41.0,14,14,3028165580,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3028165580,264.0,4 200 000 ₽,102 439 ₽ за м²,102439,4200000,Apartment,2020-11-24T04:33:35.980179Z,78,Listing,2,2.0,2020-12-24T10:06:02.273886+03:00,2039783601,2020-11-24T07:20:14.544162+03:00,2020-11-30T10:06:15.927014+03:00,1.179,264.0,#FF0000,Октябрьская,"2-комн. квартира, 41 м², 14/25 эт.",2020-11-30T07:15:41.440685Z
"Новосибирск, Линейная улица, 53",12846798,Людмила,Resale,3285,2020-11-22T11:01:53.285384Z,"Продам квартиру Линейная 53, 3ка студия, балкон 12 кв.м. во всю квартиру в престижном Жилом Комплексе бизнес-класса «Гагаринский» (состоит из двух домов). Удобное месторасположение сочетает в себе удаленность от городского шума и, в то же время, прямой выезд на Красный проспект и Ипподромскую. Всего 800м до метро Гагаринская, есть жд переход на ул.Писарева, в шаговой доступности Soccer Arena и лицей №200, школы и садики. Огороженная территория, охрана, видеонаблюдение, консьерж, парковка во дворе на 70 машин, подземная парковка, двухуровневая детская площадка + детская площадка во дворе соседнего дома.<br>В квартире хороший ремонт, на кухне столешница из искусственного камня, раковины в ванной и санузле из литьевого мрамора. В комнатах на полу плитка ПВХ. Из мебели остается Кухня и встроенный шкаф в коридоре. Есть проточный водонагреватель. Проведен свет на балконе.<br>Продажа от собственника, чистая продажа, без обременения, нет малолетних собственников.<br>Агентства просьба не беспокоить - эксклюзивный договор заключать не собираюсь.",65.5 м²,653.0,3/25,65.5 м²,65.5,3,22,3024467569,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-3024467569,261.0,7 800 000 ₽,119 084 ₽ за м²,119084,7800000,Apartment,2020-11-22T11:01:53.285384Z,78,Listing,3,3.0,2020-12-22T13:52:52.031612+03:00,2028449766,2020-11-22T13:52:30.104119+03:00,2020-11-23T12:25:24.162093+03:00,0.818,261.0,#FF0000,Гагаринская,"3-комн. квартира, 65.5 м², 3/25 эт.",2020-11-23T09:34:51.68621Z
"Новосибирская область, Тогучинский район, деревня Долгово, Центральная улица",112579155,Виктория,Resale,3275,2020-10-28T06:04:43.130072Z,"Продаётся трёхкомнатная квартира в Тогучинском районе п.Долгово,улица Центральная .Площадь дома 66,5 кв.м,земельный участок 28сот.Санузел раздельный.Стоят пластиковые окна.Есть стайка,углярка,дровник,большая ограда,огород.Рядом небольшой пруд.Некоторая мебель остается в подарок!<br>Цена:250т (торг)Возможна продажа под мат.капитал.",66 м²,,1/1,66 м²,66.0,1,6,2963019631,Sale,/3-komnatnaya-kvartira-na-prodazhu-toguchin-2963019631,,250 000 ₽,3 788 ₽ за м²,3788,250000,Apartment,2020-10-28T06:04:43.130072Z,78,Listing,3,3.0,2020-12-27T08:56:27.200636+03:00,2033838631,2020-10-28T08:55:21.41024+03:00,2020-11-27T08:56:27.200636+03:00,,,,,"3-комн. квартира, 66 м², 1/1 эт.",2020-11-27T06:05:29.780801Z
"Новосибирская область, Мошковский район, поселок Радуга, Ключевская улица, 10",68694687,Александр,Resale,3251,2019-11-17T11:00:49.173206Z,"Продается 3-х комнатная квартира в поселке Радуга Мошковского района. Квартира благоустроеная в хорошем состоянии, отопление центральное. Зимой очень тепло. Холодная горячая вода.<br>Поселок красивый и ухоженый, есть детский сад (с местами проблем нет) и школа, ДК (кружки, секции), спортклуб, почта, магазины.<br>Несколько раз в день ходит автобус до Ж/Д станции Ояш.<br>Так же с квартирой подается капитальный гараж и дача 5 соток с домиком, ухоженая с посадками. Все в шаговой доступности.",72 м²,,2/3,72 м²,72.0,2,10,2023166015,Sale,/3-komnatnaya-kvartira-na-prodazhu-stantsionno_oyashinskiy-2023166015,,1 300 000 ₽,18 056 ₽ за м²,18056,1300000,Apartment,2019-11-17T11:00:49.173206Z,78,Listing,3,3.0,2020-12-23T18:01:18.600618+03:00,1853515484,2019-11-17T13:44:48.601498+03:00,2020-11-23T18:01:18.600618+03:00,,,,,"3-комн. квартира, 72 м², 2/3 эт.",2020-11-23T15:10:23.503081Z
"Новосибирск, Обская улица, 139/1",60083005,Нина,Resale,3285,2020-11-23T15:10:35.88631Z,"Отличная квартира, 2я линия от магистрали. В шаговой доступности Лента, Магнит, социальная ярмарка, Михайловская набережная, детские сады и школы.<br>15 минут пешком до метро Речной вокзал!!!<br>В квартире Балкон и лоджия, все Застеклено!<br>Отличный вид на реку!<br>Просторный и благоустроенный двор!",62 м²,650.0,8/10,62 м²,62.0,8,10,3027229945,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-3027229945,265.0,3 970 000 ₽,64 032 ₽ за м²,64032,3970000,Apartment,2020-11-23T15:10:35.88631Z,78,Listing,3,3.0,2020-12-23T18:01:57.199641+03:00,2043269658,2020-11-23T17:59:47.612141+03:00,2020-11-23T18:01:57.199641+03:00,1.331,265.0,#FF0000,Речной вокзал,"3-комн. квартира, 62 м², 8/10 эт.",2020-11-23T15:11:01.447866Z
"Новосибирск, улица Курчатова, 7/7",23367994,Компания «ЭТАЖИ»,Resale,3285,2020-08-13T03:30:04.470143Z,"Квартира в кирпичном доме на 6 этаже, окна выходят во двор. В квартире давно не жили, состояние хорошее, все чисто.Слышимости практически нет, теплая квартира. Рядом расположено две школы 8 и 153 , детский сад, бассейн, торговые центры, аптеки, магазины, поликлиника.Остановка общественного транспорта рядом, транспорт ходит отлично, до центра практически на любом виде транспорта можно доехать.Показываем в любое удобное для вас время до 21:00.. Номер в базе: 4472021. Район: Калининский.",50 м²,648.0,6/14,50 м²,50.0,6,20,2784450095,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2784450095,,4 079 000 ₽,81 580 ₽ за м²,81580,4079000,Apartment,2020-08-13T03:30:04.470143Z,78,Listing,2,2.0,2020-12-24T16:26:34.328723+03:00,1976805378,2020-08-13T06:20:34.500024+03:00,2020-11-29T19:12:14.502613+03:00,,,,,"2-комн. квартира, 50 м², 6/14 эт.",2020-11-29T16:21:47.802173Z
"Новосибирск, Новая улица, 5",23367994,Компания «ЭТАЖИ»,Resale,3285,2020-11-24T13:35:45.386617Z,"Тёплая квартира на 4 этаже 5 этажного кирпичного дома 1995 года постройки. Хорошие соседи.<br>Пластиковые окна. Санузел (раздельный) требует капитального ремонта, остальная квартира - достаточно косметики.<br>Большая кухня, большой зал и две спальни. Две огромные лоджии, можно утеплить и соединить с комнатами и кухней.Оптимальное жилье для каждого независимо от возраста, профессии и привычек. . Номер в базе: 4993763. Район: Заельцовский.",78 м²,653.0,4/5,78 м²,78.0,4,11,3029464687,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-3029464687,260.0,5 500 000 ₽,70 513 ₽ за м²,70513,5500000,Apartment,2020-11-24T13:35:45.386617Z,78,Listing,3,3.0,2020-12-24T16:26:37.896105+03:00,2040534395,2020-11-24T16:26:08.472671+03:00,2020-11-24T16:26:37.896105+03:00,2.435,260.0,#FF0000,Заельцовская,"3-комн. квартира, 78 м², 4/5 эт.",2020-11-24T13:35:59.780003Z
