address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,developmentId,developmentName,developmentParentId,developmentParentName,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,premiumActivationDate,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"Новосибирская область, Тогучинский район, деревня Кудрино",171974231,Лида Матвеева,Resale,3275,2020-07-08T15:57:01.541513Z,квартира находится в живописном месте 5минут до электрички центральное отопление канализация хол.вода,32 м²,,,,,,2/2,32 м²,32.0,2,0,2704602891,Sale,/1-komnatnaya-kvartira-na-prodazhu-toguchin-2704602891,,2020-11-19T13:59:41.814929+03:00,230 000 ₽,7 188 ₽ за м²,7188,230000,Apartment,2020-07-08T15:57:01.541513Z,78,Listing,1,1.0,2020-12-19T13:50:50.183492+03:00,1973547949,2020-07-08T18:33:49.431119+03:00,2020-11-19T13:50:50.183492+03:00,,,,,"1-комн. квартира, 32 м², 2/2 эт.",2020-11-19T11:00:08.940629Z
"Новосибирская область, рабочий посёлок Кольцово, 6Б",164640940,"""Жилфонд"" агентство недвижимости",Resale,3246,2020-07-18T05:43:24.809448Z,"Новосибирский район, п.Кольцово, ул. Кольцово пос.  Продается 3-х комнатная квартира в живописном месте р.п. Кольцово.<br>Просторная кухня-гостиная, две просторные спальни.<br>На полу единым покрытием лежит пробковое покрытие. <br>Все межкомнатные двери выполнены из массива дерева. <br>Квартиру возможно перепланировать в 4-х студию (кухня-гостиная и 3 спальни). <br>Такую перепланировку возможно узаконить.<br>Бонус покупателю - кухонный гарнитур и шкаф-гардеробная в прихожей.<br>Вокруг дома лес, через дорогу благоустроенный парк, школа и детский сад в шаговой доступности. Квартира светлая, теплая и уютная.<br>По объекту принят задаток.<br>	<br>	При звонке, пожалуйста, сообщите номер варианта - <br>       JV000030330350",75.4 м²,,,,,,7/9,75.4 м²,75.4,7,14,2723691356,Sale,/3-komnatnaya-kvartira-na-prodazhu-koltsovo-2723691356,,2020-11-20T07:40:14.025606+03:00,6 300 000 ₽,83 554 ₽ за м²,83554,6300000,Apartment,2020-07-18T05:43:24.809448Z,78,Listing,3,3.0,2020-12-20T07:31:33.62585+03:00,1962247834,2020-07-18T08:34:00.65809+03:00,2020-12-01T11:37:40.549253+03:00,,,,,"3-комн. квартира, 75.4 м², 7/9 эт.",2020-12-01T08:47:13.370508Z
"Новосибирск, улица Ключ-Камышенское Плато, 6",154256634,Светлана,Resale,3285,2020-08-23T11:05:16.042327Z,"Продаётся очень тёплая трёхкомнатная квартира в городе Новосибирске, ул. Ключ-Камышенское плато. Или обмен на трёхкомнатную квартиру в Бердске. Рядом с домом находится Новосибирский Военный институт, новая школа, новый Планетарий и детский сад. Комнаты две смежные, одна изолированная. Балкон застеклен. Все окна пластиковые, чистая, уютная.",53 м²,,,,,650.0,5/5,53 м²,53.0,5,6,2809912086,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2809912086,,2020-11-21T17:16:16.119758+03:00,3 500 000 ₽,66 038 ₽ за м²,66038,3500000,Apartment,2020-08-23T11:05:16.042327Z,78,Listing,3,3.0,2020-12-21T17:07:35.797714+03:00,2007930032,2020-08-23T13:54:53.228712+03:00,2020-11-21T17:07:35.797714+03:00,,,,,"3-комн. квартира, 53 м², 5/5 эт.",2020-11-21T14:16:40.106421Z
"Новосибирск, улица Зелёная Горка, 7/1",164640940,"""Жилфонд"" агентство недвижимости",Resale,3285,2020-05-26T01:32:49.25443Z,"Советский район, г.Новосибирск, ул. Зеленая Горка.  Живите красиво уже сегодня!<br>Квартира в 2-х уровнях, практически свой дом. 100 квадратных метров света и уюта.<br>Квартира полностью укомплектована мебелью и бытовой техникой. В квартире выполнен качественный ремонт в классическом стиле. В стоимость квартиры входит кладовая 15 кв.м с погребом. Также у будущих собственников будет возможность приобрести  просторный теплый гараж с подвалом на первом этаже дома.<br>Быстрый выход на сделку. Документы готовы, ипотека  возможна.<br>Зелёная Горка — один из микрорайонов Советского района. Этот жилой массив — воплощённая мечта тех, кто хочет жить в тиши на природе, но с городскими удобствами.<br>Звоните, покажем в любое время!<br>По объекту принят задаток.<br>	<br>	При звонке, пожалуйста, сообщите номер варианта - <br>       JV000030090069",102.4 м²,,,,,656.0,3/6,102.4 м²,102.4,3,20,2587773363,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2587773363,,2020-11-21T22:33:43.341879+03:00,6 700 000 ₽,65 430 ₽ за м²,65430,6700000,Apartment,2020-05-26T01:32:49.25443Z,78,Listing,3,3.0,2020-12-21T22:24:01.286149+03:00,1930127903,2020-05-25T13:50:12.189865+03:00,2020-12-01T10:32:25.371256+03:00,,,,,"3-комн. квартира, 102.4 м², 3/6 эт.",2020-12-01T07:42:20.809177Z
"Новосибирск, улица Петухова, 101/3",91312863,Артем,Resale,3285,2020-10-23T11:52:55.154801Z,"Продается светлая теплая однокомнатная квартира в современном жилом комплексе «Матрешкин Двор». <br>Квартира не угловая. Окна выходят на обе стороны. <br>Особой изюминкой квартиры является большая просторная застекленная лоджия (5,20 кв.м.)<br>Дом расположен в центре микрорайона, то есть в стороне от основной транспортной магистрали (Советское шоссе), при этом в шаговой доступности остановки общественного транспорта, а также другие объекты инфраструктуры необходимые для комфортного проживания (школа №217, детский сад №53, супермаркеты и др.).<br>В жилом комплексе «Матрешкин Двор» большое количество детских и спортивных площадок, а также парковок для машин.<br>Отличный вариант для проживания. <br>Осмотр в любое удобное для вас время.",42.8 м²,,,,,655.0,8/10,42.8 м²,42.8,8,19,2951369114,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2951369114,,2020-11-22T17:18:19.102994+03:00,2 900 000 ₽,67 757 ₽ за м²,67757,2900000,Apartment,2020-10-23T11:52:55.154801Z,78,Listing,1,1.0,2020-12-22T17:09:42.056449+03:00,2044952772,2020-10-23T14:43:10.080451+03:00,2020-11-22T17:09:42.056449+03:00,,,,,"1-комн. квартира, 42.8 м², 8/10 эт.",2020-11-22T14:18:44.987502Z
"Новосибирская область, Бердск, Ключевая улица, 59/1",32229857,Отдел продаж,Resale,3279,2020-11-20T02:36:13.024795Z,"Предлагается к продаже квартира с новым качественным ремонтом.Дом строительный 10. Дом сдан. Белокаменный-это новый современный район со своей развитой инфраструктурой.Построены новые современные школа и дет сад, Чистая  срочная продажа!!!",37 м²,,,,,,4/9,37 м²,37.0,4,32,3019265746,Sale,/1-komnatnaya-kvartira-na-prodazhu-berdsk-3019265746,,2020-11-23T05:06:01.776281+03:00,2 100 000 ₽,56 757 ₽ за м²,56757,2100000,Apartment,2020-11-20T02:36:13.024795Z,78,Listing,1,1.0,2020-12-20T09:38:17.358507+03:00,2047473423,2020-11-20T05:23:28.972372+03:00,2020-12-08T17:40:53.866822+03:00,,,,,"1-комн. квартира, 37 м², 4/9 эт.",2020-12-08T14:49:56.229227Z
"Новосибирск, Ленинский район, микрорайон Горский, 75",19287487,ПО ОБЪЯВЛЕНИЮ,Resale,3285,2020-08-18T07:00:04.267544Z,"Продажа от собственника!!! Продаётся тёплая, современная,с положительной энергетикой, уютная, в отличном состоянии, полноценная 2-к квартира с просторной планировкой и максимально полезной площадью для проживания. По новым и современным стандартам 3-комнатная студия. <br>Большая светлая кухня, полноценно подходит под кухню-гостиную, для любых праздников, для любой компании, будь это встреча с родными или вечер с друзьями. <br>Во дворе дома большая детская площадка, зона для вечерних прогулок и отдыха. Большое количество парковочных мест. По соседству, есть  возможность приобрести парковочное место,в подземном, охраняемом паркинге, по весьма демократичной стоимости, либо арендовать на зимний период. <br>На углу дома находится новая школа и новый детский сад. Развитая инфраструктура-большое разнообразие продуктовых магазинов(«Ярче» и тд.), а так же аптек, ателье, салонов красоты и прочего, всего самого необходимого для комфортной и спокойной жизни. Отличная транспортная развязка, позволит без труда оказаться в любой точке города. Автобусная и трамвайная остановка находится в 2 мин. ходьбы, до метро пл. К. Маркса 10-15 мин небыстрым шагом. Квартира находится в 1-ом подъезде дома, который в свою очередь, совершенно отличается от остальных, как по количеству квартир на этаже(всего 5), так и более продуманными и современными планировками. Дружелюбные соседи. В подъезде видеонаблюдение, полный порядок и чистота.<br>В квартире выполнен современный, качественный ремонт:<br>- Напольное покрытие- ламинат, устойчивый к влаге и механическим воздействиям. Пробковая подложка. Выполнена полная гидроизоляция.<br>- Подвесной потолок из современных импортных материалов. <br>- Новые стеклопакеты - профиль VEKA(все окна включая лоджию) на гарантии, со встроенными затемняющими пакетами. На окнах установлена защита от детей. Все остекление от одного из лучших производителей города.<br>- Хорошая входная дверь с отличной фурнитурой и импортными замками.<br>- Современная кухня с качественной встроенной импортной техникой.<br>- Импортный кафель в ванной и сантехникой, пол с подогревом. <br>Вся встроенная мебель и техника остаётся новым владельцам. Чистая продажа без ограничений и обременений. Все Документы к сделке готовы!",64 м²,,,,,654.0,11/15,64 м²,64.0,11,28,2796720986,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2796720986,266.0,2020-11-23T09:26:21.779499+03:00,5 790 000 ₽,90 469 ₽ за м²,90469,5790000,Apartment,2020-08-18T07:00:04.267544Z,78,Listing,2,2.0,2020-12-23T09:17:43.589311+03:00,1981882692,2020-08-18T09:58:23.024932+03:00,2020-11-23T09:17:43.589311+03:00,1.384,267.0,#FF0000,Площадь Маркса,"2-комн. квартира, 64 м², 11/15 эт.",2020-11-23T06:26:46.72511Z
"Новосибирск, Геодезическая улица, 17",9464694,Денис,Resale,3285,2020-02-18T02:45:11.114786Z,Продам квартиру новый ремонт.<br>Возможен обмен.<br>По вопросам и предложениям звоните.<br>Собственник.<br>Заходи и живи.,100 м²,,,,,654.0,2/5,100 м²,100.0,2,10,2319957989,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-2319957989,266.0,2020-11-23T10:49:22.014171+03:00,9 250 000 ₽,92 500 ₽ за м²,92500,9250000,Apartment,2020-02-18T02:45:11.114786Z,78,Listing,3,3.0,2020-12-23T10:49:08.673548+03:00,1875965941,2020-02-17T13:58:57.39692+03:00,2020-11-23T10:50:00.181431+03:00,0.241,266.0,#FF0000,Студенческая,"3-комн. квартира, 100 м², 2/5 эт.",2020-11-23T07:59:17.550115Z
"Новосибирск, улица Боровая Партия, 8",187890768,Кира Волкова,Resale,3285,2020-08-21T07:44:26.507431Z,"Просторная квартира с двумя лоджиями и ремонтом, частично мебелирована. Окна выходят во двор. Адекватные соседи, спокойный район. Продаётся собственником. Риэлторов просьба не беспокоить. <br>Квартира без обременений, один взрослый собственник.",60 м²,,,,,656.0,3/9,60 м²,60.0,3,6,2804562589,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2804562589,,2020-11-23T11:39:10.511012+03:00,3 650 000 ₽,60 833 ₽ за м²,60833,3650000,Apartment,2020-08-21T07:44:26.507431Z,78,Listing,2,2.0,2020-12-23T11:30:34.305343+03:00,1966286033,2020-08-21T10:34:55.263364+03:00,2020-11-23T12:55:04.368266+03:00,,,,,"2-комн. квартира, 60 м², 3/9 эт.",2020-11-23T10:05:37.640679Z
"Новосибирск, улица Ясный Берег, 13",25626591,Татьяна,Resale,3285,2020-08-25T03:27:01.402849Z,"Очень жаль, что приходиться продавать эту замечательную квартиру, которая расположена в живописном месте ЖК ""Венеция-2"" на левом берегу Оби. <br>Квартира под чистовой отделкой. Полы в квартире с шумо и гидроизоляцией (санузел), выполнена фиброармированная стяжка. Стены лоджии с отделкой декоративной штукатуркой. При строительстве дома применена современная немецкая сборно-монолитная технология. Высота потолков - 2,80 м. Современные широкоформатные окна. Панорамное остекление лоджии. Комфортная планировка. Два надежных скоростных лифта OTIS. <br>Из окон квартиры открывается великолепный вид на реку и огни города. Прямой выезд на Дмитровский мост позволяет за 5 минут доехать до пл.Ленина и за  7 минут доехать до театров ""Красный факел"", НОВАТ, кинотеатра "" Победа"" и пр. <br>Совсем рядом располагаются гипермаркеты ""Лента"", ""Гигант"", магазины формата у дома. Строительный гипермаркет ""Леруа Мерлен"" станет незаменимым помощником при воплощении дизайнерских фантазий в отделке и обустройстве интерьера. В 400 метрах самый крупный аквапарк в России. Рядом с ЖК располагаются д/с N66, школа N72, ""Эврика"", поликлиника, отделение банка. В 5 минутах ходьбы ост. Мост. <br>Для детей предусмотрены надежные и безопасные игровые комплексы. Для взрослых - отдельная площадка для отдыха и занятия спортом на свежем воздухе. <br>Территория ЖК предусматривает внешнее ограждение, которое снабжено шлагбаумом и калиткой. Предусмотрено круглосуточное видеонаблюдение на территории комплекса. <br>ЖК продолжает динамично развиваться. <br>Не откладывайте на потом звоните прямо сейчас и приходите на просмотр. <br>То, что было вчера мечтой, сегодня - реальность.",32 м²,,,,,654.0,9/17,32 м²,32.0,9,5,2813960613,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-2813960613,268.0,2020-11-23T12:54:38.311654+03:00,3 200 000 ₽,100 000 ₽ за м²,100000,3200000,Apartment,2020-08-25T03:27:01.402849Z,78,Listing,1,1.0,2020-12-23T12:45:55.942946+03:00,1981121842,2020-08-25T06:20:59.251097+03:00,2020-11-23T12:45:55.942946+03:00,2.05,268.0,#008000,Площадь Гарина-Михайловского,"1-комн. квартира, 32 м², 9/17 эт.",2020-11-23T09:54:59.409719Z
