address,agencyId,agencyName,apartmentSaleType,cityId,createdAt,description,details,developmentId,developmentName,developmentParentId,developmentParentName,districtId,floor,floorArea,floorAreaCalculated,floorInt,galleryImagesCount,id,itemType,itemUrl,metroId,price,pricePerArea,pricePerAreaValue,priceValue,propertyType,publishDate,regionId,resultType,roadId,rooms,roomsOrdinal,sourceFinishTime,sourceId,sourceStartTime,sourceUpdateTime,station_distance,station_id,station_lineColors,station_name,title,updatedAt
"Новосибирск, улица Римского-Корсакова, 7/2",190810911,Olga,Resale,3285,2020-11-23T09:45:29.247256Z,"Предлагается к продаже отличный вариант 3- комнатной квартиры в кирпичном доме, в районе метро Карла Маркса в 300 метрах. Светлая, тёплая уютная квартира с хорошим ремонтом. Окна пластиковые, натяжной потолок, новая сантехника, стоят счётчики на воду. Оставляем кухонный гарнитур, кондиционер. Подъезд чистый, ухоженный. В шаговой доступности детские сады, школа, медицинские учреждения, аптеки, продовольственные магазины, автобусные остановки, метро. Показываем в удобное для Вас время. ",41.9 м²,,,,,654.0,5/5,41.9 м²,41.9,5,11,3026428090,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-3026428090,267.0,3 100 000 ₽,73 986 ₽ за м²,73986,3100000,Apartment,2020-11-23T09:45:29.247256Z,78,Listing,,3,3.0,2020-12-23T12:37:33.401273+03:00,2045514523,2020-11-23T12:36:05.90483+03:00,2020-11-25T12:03:29.296949+03:00,0.478,267.0,#FF0000,Площадь Маркса,"3-комн. квартира, 41.9 м², 5/5 эт.",2020-11-25T10:12:59.666503Z
"Новосибирск, Красный проспект, 94/3",186669859,СРЕДА агентство недвижимости,Resale,3285,2020-11-23T09:51:11.309564Z,"В продаже полноценная трехкомнатная квартира. Отличное расположение, 6 минут до метро.<br>Квартира готова к переезду, можно ничего не менять, только по собственному усмотрению, вдали от шумных магистралей, рядом с домом есть детский сад, и две школы.<br>До остановки наземного транспорта 3 минуты пешком.<br>Подходит под любой вид расчета, в том числе и ипотеку!<br>Просмотры по договоренности.<br>Номер объекта: #2/551192/13331",58 м²,,,,,653.0,2/5,58 м²,58.0,2,11,3026446808,Sale,/3-komnatnaya-kvartira-na-prodazhu-novosibirsk-3026446808,261.0,4 600 000 ₽,79 310 ₽ за м²,79310,4600000,Apartment,2020-11-23T09:51:11.309564Z,78,Listing,,3,3.0,2020-12-23T12:42:09.342113+03:00,2049869516,2020-11-23T12:41:45.621617+03:00,2020-11-24T12:39:36.832554+03:00,0.285,261.0,#FF0000,Гагаринская,"3-комн. квартира, 58 м², 2/5 эт.",2020-11-24T09:50:20.142253Z
"Новосибирск, Бронная улица, 40/4",7141261,Алексей,New,3285,2020-11-26T14:17:34.137431Z,"Собственник, под самоотделку, дом сдан, переуступка.",42 м²,,,,,655.0,6/10,42 м²,42.0,6,2,3034359466,Sale,/1-komnatnaya-kvartira-na-prodazhu-novosibirsk-3034359466,,2 000 000 ₽,47 619 ₽ за м²,47619,2000000,Apartment,2020-11-26T14:17:34.137431Z,78,Listing,,1,1.0,2020-12-26T17:08:33.201854+03:00,2026973276,2020-11-26T17:08:13.340519+03:00,2020-11-26T17:08:33.201854+03:00,,,,,"1-комн. квартира, 42 м², 6/10 эт.",2020-11-26T14:17:37.781275Z
"Новосибирск, Кировский район, Северо-Чемской жилмассив, улица Аникина, 16",17367072,"Агентство недвижимости ""Аванта""",Resale,3285,2020-11-18T06:20:40.285353Z,"Предлагается к продаже четырехкомнатная квартира в жк «Шесть Звезд».<br>Дом сдан!!! Льготная ипотека от 5.5%!!!<br>В квартире панорамное остекление и высота потолков 3 метра.<br>Жилой комплекс «Шесть звёзд»  находится в Кировском районе города Новосибирска, на левом берегу реки Обь. Месторасположение комплекса является одним из основных его преимуществ. Рядом с комплексом располагается одна из лучших школ левого берега – гимназия № 49, сразу за ней 2 детских сада, еще 4 школы и 7 детских садов находятся в шаговой доступности. Также рядом расположены магазины «Быстроном», «Ашан», «Мега», «Икея», «Посудацентр», «Лента», боулинг, кадетский корпус им. Покрышкина, школа олимпийского резерва по футболу, бассейн, пляж, Бугринская роща. В подъездах установлены домофон и пять современных скоростных лифтов, 2 из которых спускаются на  подземную двухуровневую автостоянку. Витражное остекление балконов, теплые лоджии. Высококачественная отделка мест общего пользования. Ландшафтный дизайн, детские площадки. Предусмотрено видеонаблюдение на каждом этаже и на всей территории комплекса с выходом в интернет.  Торговые и офисные помещения, расположенные на первом этаже, изолированы от подъездных холлов и имеют отдельные входы. Из окон дома открывается прекрасный вид на парк «Бугринская роща», Обь, Бугринский пляж и правый берег. <br>Подходит любая форма расчета. Помощь в получении ипотечного решения-бесплатно. Звоните!!!",145.2 м²,,,,,655.0,26/26,145.2 м²,145.2,26,21,3014357185,Sale,/4-komnatnaya-kvartira-na-prodazhu-novosibirsk-3014357185,266.0,8 900 000 ₽,61 295 ₽ за м²,61295,8900000,Apartment,2020-11-18T06:20:40.285353Z,78,Listing,,4,4.0,2020-12-18T09:11:38.731807+03:00,2014073975,2020-11-18T09:11:10.544682+03:00,2020-11-18T09:11:38.731807+03:00,3.69,266.0,#FF0000,Студенческая,"4-комн. квартира, 145.2 м², 26/26 эт.",2020-11-18T06:20:41.60458Z
"Новосибирская область, Бердск, улица Красная Сибирь, 114",10095098,Юрий,Resale,3279,2020-10-21T08:38:09.980477Z,"В квартире перепланировка - кухня и комната объединены в просторную гостиную 20 кв.м., детская комната 16 кв. м., спальня 9 кв. м. Свежий капитальный ремонт, лоджия застеклена. Перед входом в квартиру имеется хоз. комната около 4 кв. м. В квартире новая электро<br>проводка и сантехника. Продаем лично.",57 м²,,,,,,1/6,57 м²,57.0,1,12,2945726579,Sale,/3-komnatnaya-kvartira-na-prodazhu-berdsk-2945726579,,3 300 000 ₽,57 895 ₽ за м²,57895,3300000,Apartment,2020-10-21T08:38:09.980477Z,78,Listing,,3,3.0,2020-12-20T11:30:38.054377+03:00,2040151657,2020-10-21T11:28:38.330146+03:00,2020-11-20T11:30:38.054377+03:00,,,,,"3-комн. квартира, 57 м², 1/6 эт.",2020-11-20T08:39:41.814755Z
"Новосибирск, Трикотажная улица, 31",144204796,RedEstate,Resale,3285,2020-06-21T02:54:35.167086Z,"Продам теплую солнечную квартиру в районе с развитой инфраструктурой по выгодной цене!<br>Квартира в хорошем состоянии, заменена электропроводка, установлены пластиковые окна, заменены радиаторы, сделан хороший ремонт в ванной комнате, застеклённый балкон. <br>Территория дома огорожена, растёт много деревьев и организованы цветники.<br>Дом расположен в районе с развитой инфраструктурой: три поликлиники, детские сады, школа, много супермаркетов и магазинов, дворец культуры имени Чкалова, всё это находится в шаговой доступности от дома! <br>В нескольких остановках от дома расположен прекрасный парк ""Березовая роща"", где можно отлично провести свободное время всей семьёй и много спортивных секций.<br>Дом находится рядом с хорошей транспортной развязкой. Остановка транспорта находится рядом с домом. Наличие большого количества маршрутов автобусов, троллейбусов и маршрутных такси, а также, наличие трамвая, позволяют быстро и легко добраться до любой точки города.<br>Квартира подходит как для собственного проживания, так и для сдачи в аренду.<br>Ипотека, использование материнского капитала – приветствуется!<br>Звоните прямо сейчас и приходите на просмотр!",44.9 м²,,,,,651.0,5/5,44.9 м²,44.9,5,32,2656852342,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-2656852342,271.0,3 250 000 ₽,72 383 ₽ за м²,72383,3250000,Apartment,2020-06-21T02:54:35.167086Z,78,Listing,,2,2.0,2020-12-18T09:13:40.616059+03:00,1946849275,2020-06-20T10:09:49.744413+03:00,2020-11-18T09:13:40.616059+03:00,2.241,271.0,#008000,Берёзовая роща,"2-комн. квартира, 44.9 м², 5/5 эт.",2020-11-18T06:22:44.502637Z
"Новосибирская область, Карасук, улица Щорса, 15",165015410,Денис Филиппов,Resale,3256,2019-08-21T06:07:44.870348Z,"продам трёхкомнатную квартиру в г.карасуке.5 этаж 5 этажного панельного дома.комнаты изолированные,окна ПВХ,балкон застеклен, счётчики на воду.в шаговой доступности школа  100 метров плюс стадион,садик 400 метров,баня,магазины,почта в доме,остановка.возле дома детская площадка,место для автомобиля,планируют установку шлагбаума.в подвале ячейка для хранения,квартира выходит на обе стороны дома,не угловая не крайняя,зимой тепло,соседи хорошии.расмотрю вариант обмена на меньшее,1-2 этаж!торг!",59 м²,,,,,,5/5,59 м²,59.0,5,15,1733878842,Sale,/3-komnatnaya-kvartira-na-prodazhu-karasuk-1733878842,,1 600 000 ₽,27 119 ₽ за м²,27119,1600000,Apartment,2019-08-21T06:07:44.870348Z,78,Listing,,3,3.0,2020-12-20T11:32:50.884843+03:00,1776284088,2019-08-21T08:54:37.30982+03:00,2020-11-20T11:32:50.884843+03:00,,,,,"3-комн. квартира, 59 м², 5/5 эт.",2020-11-20T08:41:54.511882Z
"Новосибирск, улица Ленина, 55, подъезд 1",185995784,Аркадий Букреев,Resale,3285,2020-11-23T19:04:05.233628Z,"С о б с т в е н н и к - я с н о ... !!! С Т А Л И Н К А - ПОЛНОГАБАРИТНАЯ , ПОТОЛКИ ТРИ МЕТРА .Продажа  с  29.11. .2020 г. . 2020 г. ул. Ленина 55 , супер тёплая . Два окна = кухня и спальня выходят на улицу - дорога . Ещё одно окно большая спальня + застеклённый балкон . Соседи супер - в адеквате !Можно ходить по квартире без трусов. 2-х комнатная полногабаритная раздельная квартира после капитального ремонта. 60  м.кв. = 26 + 14 - 10 - кухня , пластиковые 5 камерные окна , металлическая фирменная дверь , большой коридор ,ванная  с  унитазом   и туалет раздельные. Пол деревянный + фанера + сверху линолеум коммерческий. , стены флизилиновые обои + покраска постельные тона. Потолок подвесной армстронг , в коридоре з е р к а л ь н ы й .с отличным ремонтом,который делался под себя,с заменой всех коммуникаций,напольных покрытий и т.д. Дом с очень удобным расположением , 5 мин до станции метро площадь Гарина Михайловского оно же Вокзал Главный Много магазинов,кафе,аптека. Рядом с домом находится остановка общественного транспорта с выездом на Димитровский мост Вся импортная сантехника , с приличной мебелью 2013 - 2019 г.г. Кухня - шкафы новые , цвет томно карычнэвый . Как в Питере = белий ноч.... . Ваши пожелания оставляйте на емаил. Фоты сброшу на Ваш емаил . Просмотр квартиры  только при наличии  отпечатанного на  листе  А 4   , паспорта  и  копии его - остаётся у продавца с  собой  и наличия  финансов  , либо задатка  = 5 000 рублей. финансов , - на Вашем транспорте из центра города туда и обратно - обязательно залог . Кадастровый  номер  54:35:021140:484 . Люди = н е т н и к а к и х о б р е м е н е н и й - для этого залог !!! успокойтесь. Деньги в банк и оформляем  -  оформление  всё  ваше  и  за  ваш  счёт ! . Задаток обязателен ... Аренда цена от 20 000  рублей  возможно , даже лучше - длительно ( по количеству проживающих , чем больше , тем дороже - классика )... + коммунальные все без исключения услуги = 3.0 т.р.Залог - депозит обязателен ( чтобы не пакостили ). Торг... Бартер... Комментарий . ЖДУ КОНКРЕТНЫХ - КВАЛИФИЦИРОВАННЫХ - ПРЕДЛОЖЕНИЙ. С ЗАЛОГОМ - ВХОД В СИСТЕМУ. Уважаемые бездари , зэки и в тюбитейках это не Ваш вариант = даже не звоните !!! Не морочьте голову в первую очередь себе и мне  -   вам нет сюда входа - умоляю не звоните. Возможная продажа   или   аренда   длительная  или по суточно . Звоните договоримся......<br>С о б с т в е н н и к - я с н о",60 м²,,,,,652.0,3/5,60 м²,60.0,3,7,3027647730,Sale,/2-komnatnaya-kvartira-na-prodazhu-novosibirsk-3027647730,268.0,5 999 999 ₽,100 000 ₽ за м²,100000,5999999,Apartment,2020-11-23T19:04:05.233628Z,78,Listing,,2,2.0,2020-12-23T21:55:24.089193+03:00,2021922492,2020-11-23T21:45:54.407556+03:00,2020-12-04T11:15:08.03613+03:00,0.497,268.0,#008000,Площадь Гарина-Михайловского,"2-комн. квартира, 60 м², 3/5 эт.",2020-12-04T08:30:29.22149Z
"Новосибирск, улица Татьяны Снежиной, 19/1, подъезд 1",1466218,Дмитрий,Resale,3285,2020-03-22T03:21:25.712092Z,"Это единственное подлинное объявление, все остальные - это фейки от агенств!. Звонить напрямую без посредников!!! Я собственник, продается в связи с переездом. Агентства - не звоните вообще. У меня есть риэлтор, который все грамотно оформит. Сделка только с реальным покупателем. <br> Фото и видео актуальные на сегодня. Площадь 38кв.м. общаяя, включая большую лоджию.<br> Обременений, залогов и других факторов, препятствующих сделке нет. В собственности более пяти лет, в договоре полная сумма. Никто не прописан.   <br> На сегодня не полный ремонт. Ремонт не доделан только в ванной и прихожей, но жить можно с комфортом. В жилой комнате на полу ламинат, на стенах обои. Лоджия почти 5 кв.м., застеклена, есть отражающая пленка. Мебель: комод, горизонтальный стеллаж,  встроенный угловой шкаф, стиральная машина, кровать, стол, холодильник, прихожая (нужно только собрать). Все это оставляю с квартирой. Реально заинтересованным небольшой торг. <br> Квартира интересна средней этажностью, огромный, всегда работающий лифт, новую современную школу видно из окна, с другой стороны новый детский сад. В магазин нужно только спуститься. Транспорт ходит как надо. И т.д., в общем инфраструктура уже не первобытная. Соседей не видно, не слышно. Перфораторы уже не долбят. Сегодня можно уже заехать и жить себе спокойно поживать, при желании доделать ремонт под себя.",38 м²,,,,,650.0,6/10,38 м²,38.0,6,12,2426250435,Sale,/kvartira-na-prodazhu-novosibirsk-2426250435,,2 260 000 ₽,59 474 ₽ за м²,59474,2260000,Apartment,2020-03-22T03:21:25.712092Z,78,Listing,,Студия,,2020-12-17T19:53:21.968967+03:00,1896567559,2020-03-21T12:07:21.546264+03:00,2020-11-17T19:53:21.968967+03:00,3.241,272.0,#008000,Золотая Нива,"Квартира-студия, 38 м², 6/10 эт.",2020-11-17T17:02:28.930269Z
"ул. Восточная/Центральная, д. 41",17367072,"Агентство недвижимости ""Аванта""",New,3287,2020-11-18T06:30:23.144509Z,"«Бавария» – это жилой комплекс, в котором сочетаются комфорт и эстетика немецкого городка. Здесь очень красивая природа, свежий воздух, развитая инфраструктура и хорошая транспортная доступность. До мегаполиса всего 15 минут езды. Территория комплекса благоустроена, на ней воплощены оригинальные проекты ландшафтного дизайна. С востока и северо-востока «Бавария» граничит с лесным массивом. В шаговой доступности река Обь и дендропарк. Жилой комплекс «Бавария» расположен на территории посёлка Краснообск. Отсюда до Новосибирска можно добраться по Советскому шоссе. Доехать по улице Восточной,  в частности, до торгового центра «Мега» дорога займёт порядка 15 минут. В 7 километрах расположен Бугринский мост, по которому можно быстро добраться на правый берег. В посёлке хорошо налажена работа общественного транспорта. Между Новосибирском и Краснообском курсируют маршрутные такси и автобусы. Инфраструктура Краснообска отлично развита. Здесь есть всё необходимое для жизни и отдыха:  детские сады и школы, центры развития ребятишек. В посёлке работают супермаркеты, магазины, аптеки, медицинские учреждения, отделения банков. Рядом с «Баварией» находятся бассейн «Арго» и конный клуб посёлка Краснообск. В «Баварии» за порядком и благоустройством следит собственная управляющая компания. Жилой комплекс украшают альпийские горки, ухоженные газоны, декоративные кустарники, клумбы, скульптурные композиции. Для любителей активного отдыха организована многофункциональная спортивная площадка с уличными тренажёрами и дорожками для катания на роликах и скейтах. Для детей и взрослых установлены удобные и безопасные качели. Изюминка «Баварии» – плоский фонтан. В летнее время он дарит местным жителям свежесть и прохладу, а зимой его превращают в ледовый каток. Огороженная территория с видеонаблюдением. Квартиры сдаются под чистовую самоотделку. В подвале дома можно приобрести кладовую. На территории «Баварии» запланировано строительство многофункционального центра, где будут работать магазины, кафе, студии красоты и другие заведения и салоны. <br>Подходит любая форма расчета. Помощь в получении ипотечного решения – бесплатно. СЕЛЬСКАЯ ИПОТЕКА ОТ 2.7%.",106.8 м²,23982.0,ЖК «Бавария»,23982.0,ЖК «Бавария»,,4/4,106.8 м²,106.8,4,22,3014379196,Sale,/3-komnatnaya-kvartira-na-prodazhu-krasnoobsk-3014379196,,7 611 000 ₽,71 264 ₽ за м²,71264,7611000,Apartment,2020-11-18T06:30:23.144509Z,78,Listing,,3,3.0,2020-12-18T09:21:22.303371+03:00,2014455812,2020-11-18T09:20:57.404168+03:00,2020-11-18T09:21:22.303371+03:00,,,,,"3-комн. квартира, 106.8 м², 4/4 эт.",2020-11-18T06:30:25.514621Z
